battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_35,B_HF456_median,8,MAE,0.015966632418175593,0.03423490808887166,0.1,1,874
CS2_35,B_HF456_median,8,MAE,0.015864777591696855,0.03435598936240723,1.0,1,874
CS2_35,B_HF456_median,8,MAE,0.01573538657450307,0.034144141944218276,10.0,1,874
CS2_35,B_HF456_median,8,MAE,0.015916484492454964,0.03348457299280813,100.0,1,874
CS2_36,B_HF456_median,8,MAE,0.017489886150263215,0.0528109009497539,0.01,1,965
CS2_36,B_HF456_median,8,MAE,0.017527542484869846,0.052960551168612875,0.1,1,965
CS2_36,B_HF456_median,8,MAE,0.01760849289929378,0.05307959132341329,1.0,1,965
CS2_36,B_HF456_median,8,MAE,0.01750828412645198,0.0531081523312895,10.0,1,965
CS2_36,B_HF456_median,8,MAE,0.017569317941169973,0.05323917125424943,100.0,1,965
CS2_37,B_HF456_median,8,MAE,0.015166433724969307,0.039852883027846335,0.01,1,1030
CS2_37,B_HF456_median,8,MAE,0.015039255543640422,0.03995151763333921,0.1,1,1030
CS2_37,B_HF456_median,8,MAE,0.015048079756835654,0.04005452555344122,1.0,1,1030
CS2_37,B_HF456_median,8,MAE,0.015022439652731472,0.040149268726150225,10.0,1,1030
CS2_37,B_HF456_median,8,MAE,0.01561194978636451,0.04084879812213488,100.0,1,1030
CS2_38,B_HF456_median,8,MAE,0.01602449992399744,0.04435785426995122,0.01,1,1020
CS2_38,B_HF456_median,8,MAE,0.015306616491328591,0.04408236691346587,0.1,1,1020
CS2_38,B_HF456_median,8,MAE,0.015148326221709644,0.04402960228740984,1.0,1,1020
CS2_38,B_HF456_median,8,MAE,0.015136128324596081,0.04407809756639644,10.0,1,1020
CS2_38,B_HF456_median,8,MAE,0.01602504064347697,0.04461513341083884,100.0,1,1020
CS2_35,B_HF456_median_indicators,8,MAE,0.016164254381008308,0.03395106044335987,0.01,1,874
CS2_35,B_HF456_median_indicators,8,MAE,0.01592135020346027,0.034217196738135225,0.1,1,874
CS2_35,B_HF456_median_indicators,8,MAE,0.01582290326700314,0.03435368598673711,1.0,1,874
CS2_35,B_HF456_median_indicators,8,MAE,0.015701933237047667,0.03414930590296766,10.0,1,874
CS2_35,B_HF456_median_indicators,8,MAE,0.015914120173572435,0.03348604219244509,100.0,1,874
CS2_36,B_HF456_median_indicators,8,MAE,0.017473354276092607,0.05279160039760309,0.01,1,965
