battery,feature,horizon,metric,value,mae_without,mae_full,model_context,alpha,n_test,rank
CS2_37,Group_DischargeIC,4,MAE_minus_full,-9.766822415830864e-05,0.014589750409732313,0.014687418633890621,history_L32,1.0,1003,4.0
CS2_38,Group_CC,4,MAE_minus_full,0.0006932478882116008,0.01625224499624069,0.015558997108029089,history_L32,1.0,993,1.0
CS2_38,Group_CV,4,MAE_minus_full,-7.292974724284508e-05,0.015486067360786244,0.015558997108029089,history_L32,1.0,993,4.0
CS2_38,Group_EnergyEfficiency,4,MAE_minus_full,0.0003823685409812764,0.015941365649010365,0.015558997108029089,history_L32,1.0,993,2.0
CS2_38,Group_DischargeIC,4,MAE_minus_full,0.0001363427990072521,0.01569533990703634,0.015558997108029089,history_L32,1.0,993,3.0
CS2_35,Group_CC,8,MAE_minus_full,0.0006073778235363668,0.016134541455095266,0.015527163631558899,history_L32,1.0,843,1.0
CS2_35,Group_CV,8,MAE_minus_full,-0.00026090634334557244,0.015266257288213327,0.015527163631558899,history_L32,1.0,843,4.0
CS2_35,Group_EnergyEfficiency,8,MAE_minus_full,0.0003010594836054224,0.01582822311516432,0.015527163631558899,history_L32,1.0,843,3.0
CS2_35,Group_DischargeIC,8,MAE_minus_full,0.0004255731766778341,0.015952736808236733,0.015527163631558899,history_L32,1.0,843,2.0
CS2_36,Group_CC,8,MAE_minus_full,0.0008994814642123809,0.020082803343194826,0.019183321878982446,history_L32,1.0,934,1.0
CS2_36,Group_CV,8,MAE_minus_full,-0.00014590933347273516,0.01903741254550971,0.019183321878982446,history_L32,1.0,934,4.0
CS2_36,Group_EnergyEfficiency,8,MAE_minus_full,0.00032042393050445844,0.019503745809486904,0.019183321878982446,history_L32,1.0,934,2.0
CS2_36,Group_DischargeIC,8,MAE_minus_full,-2.907970308870661e-05,0.01915424217589374,0.019183321878982446,history_L32,1.0,934,3.0
CS2_37,Group_CC,8,MAE_minus_full,0.0006597383399573713,0.01629642222883539,0.015636683888878018,history_L32,1.0,999,1.0
CS2_37,Group_CV,8,MAE_minus_full,-3.716301839274544e-05,0.015599520870485273,0.015636683888878018,history_L32,1.0,999,4.0
CS2_37,Group_EnergyEfficiency,8,MAE_minus_full,0.00023794767897094074,0.01587463156784896,0.015636683888878018,history_L32,1.0,999,2.0
CS2_37,Group_DischargeIC,8,MAE_minus_full,8.069123359450564e-06,0.01564475301223747,0.015636683888878018,history_L32,1.0,999,3.0
